user_id,diet_type,smoker,alcohol_consumption,stress_level,sleep_hours,water_intake_liters,exercise_frequency,skincare_routine_level,satisfaction_score,perceived_improvement_score
HSP20232958,Vegetarian,True,None,4,9.0,1.6,3–5x/week,1,5,4
HSP20254033,Vegetarian,True,None,6,7.9,3.1,3–5x/week,3,3,2
HSP20224545,Mixed,True,None,8,5.6,2.6,3–5x/week,2,5,4
HSP20245530,Keto,True,None,8,6.0,2.6,Daily,1,3,3
HSP20259595,Vegetarian,False,None,9,8.3,2.9,Daily,1,3,1
HSP20255636,Vegan,True,Rare,5,7.1,2.2,3–5x/week,3,1,0
HSP20214180,Mixed,False,Regular,8,4.7,2.4,3–5x/week,2,5,5
HSP20234727,Vegan,False,Rare,8,7.9,1.6,1–2x/week,2,2,0
HSP20233939,Vegetarian,False,None,3,5.2,2.6,3–5x/week,3,3,3
HSP20231231,Mixed,False,Rare,7,5.3,2.0,1–2x/week,2,4,3
HSP20253073,Keto,False,Rare,5,6.0,1.7,3–5x/week,1,5,3
HSP20231745,Keto,True,Rare,7,5.3,2.9,1–2x/week,1,3,3
HSP20215786,Keto,False,Regular,4,4.9,1.5,3–5x/week,0,3,2
HSP20229042,Vegetarian,True,Rare,8,5.7,2.9,1–2x/week,1,3,2
HSP20211200,Mixed,False,None,7,6.3,2.2,Daily,1,5,5
HSP20255658,Keto,True,None,4,6.6,1.5,3–5x/week,3,5,3
HSP20248843,Mixed,True,None,7,7.1,2.7,1–2x/week,0,1,0
HSP20246582,Mixed,False,None,5,6.0,3.1,None,3,2,1
HSP20221841,Mixed,False,None,4,5.1,3.2,None,0,3,1
HSP20238827,Keto,False,Regular,2,6.7,2.3,1–2x/week,3,3,1
HSP20212070,Mixed,True,None,3,6.5,2.4,3–5x/week,3,2,0
HSP20249056,Vegan,False,None,7,8.0,1.9,3–5x/week,1,5,3
HSP20211878,Mixed,False,Rare,6,5.6,3.1,3–5x/week,3,2,2
HSP20223444,Vegetarian,False,None,6,5.8,3.0,None,1,4,2
HSP20255978,Vegan,True,Regular,3,8.5,2.3,1–2x/week,3,4,2
HSP20215066,Vegan,False,None,8,7.3,1.8,Daily,0,4,2
HSP20217818,Mixed,True,None,3,7.4,2.6,None,0,4,4
HSP20254697,Mixed,False,Rare,2,7.1,2.1,None,3,2,0
HSP20257232,Vegan,True,Rare,3,4.5,2.8,1–2x/week,1,2,1
HSP20248253,Vegan,True,None,8,4.0,2.3,Daily,1,3,1
HSP20238025,Vegetarian,False,None,6,7.6,2.6,None,0,1,0
HSP20231986,Keto,True,None,6,8.8,3.1,None,0,4,4
HSP20252625,Vegan,True,Rare,2,5.7,2.5,3–5x/week,1,1,1
HSP20224457,Keto,False,Regular,8,6.4,1.6,None,0,5,3
HSP20232330,Vegetarian,True,None,3,5.4,2.2,1–2x/week,2,5,3
HSP20224929,Vegan,False,None,4,4.1,2.5,None,1,3,3
HSP20222229,Vegetarian,False,None,9,6.2,1.5,None,3,5,5
HSP20221043,Mixed,False,None,7,7.0,2.9,Daily,0,1,0
HSP20248381,Vegetarian,True,Rare,3,6.8,2.3,3–5x/week,0,2,1
HSP20258699,Keto,True,None,3,7.2,2.9,3–5x/week,0,1,1
HSP20231534,Keto,False,None,9,6.9,2.0,None,1,4,3
HSP20225720,Vegan,False,None,8,6.8,3.2,1–2x/week,0,2,0
HSP20238438,Vegetarian,True,Regular,9,5.8,3.8,3–5x/week,0,4,4
HSP20214824,Vegan,True,None,4,5.9,2.5,None,2,3,3
HSP20234241,Vegetarian,True,None,7,5.7,2.6,1–2x/week,2,1,0
HSP20242880,Keto,True,None,8,4.4,2.2,3–5x/week,2,3,3
HSP20254683,Vegan,True,Rare,9,5.2,2.6,3–5x/week,0,1,1
HSP20225352,Vegan,False,None,3,7.7,2.9,Daily,2,5,3
HSP20222169,Vegan,False,None,6,3.7,3.7,1–2x/week,0,1,0
HSP20213718,Vegetarian,False,None,7,6.9,2.0,Daily,1,3,2
HSP20235728,Vegan,True,Rare,4,6.7,2.6,Daily,0,4,4
HSP20243037,Keto,False,None,7,5.7,2.6,Daily,2,1,0
HSP20245982,Keto,True,None,2,5.8,2.3,None,2,3,3
HSP20245460,Mixed,True,Regular,8,5.7,1.6,Daily,1,3,3
HSP20259847,Keto,True,Rare,2,6.7,2.9,Daily,3,5,3
HSP20248172,Vegetarian,False,Regular,3,7.1,3.0,Daily,1,5,5
HSP20211653,Vegetarian,False,None,5,6.9,2.2,None,0,3,1
HSP20246280,Mixed,True,None,4,7.5,1.7,1–2x/week,1,5,5
HSP20255102,Vegan,True,None,9,5.4,1.9,3–5x/week,1,5,5
HSP20212496,Vegan,False,None,6,7.8,3.1,None,0,5,4
HSP20221339,Keto,True,None,3,7.1,3.1,None,1,3,1
HSP20231659,Vegetarian,False,None,9,5.4,2.7,1–2x/week,1,5,3
HSP20228708,Mixed,True,Rare,8,6.3,3.0,3–5x/week,0,3,2
HSP20258245,Vegetarian,False,None,2,6.4,2.3,1–2x/week,0,1,1
HSP20233973,Vegan,True,Rare,7,7.1,3.0,1–2x/week,2,1,0
HSP20258141,Vegan,True,Rare,3,5.7,2.5,3–5x/week,2,4,2
HSP20242494,Keto,False,None,4,5.2,1.0,None,1,1,0
HSP20246700,Mixed,True,None,7,6.7,2.9,Daily,0,2,1
HSP20246460,Vegetarian,True,None,9,6.8,1.3,3–5x/week,1,4,2
HSP20232713,Vegetarian,False,Rare,7,6.1,1.2,3–5x/week,3,3,1
HSP20226403,Vegan,True,None,6,8.1,1.8,1–2x/week,0,4,2
HSP20249117,Keto,True,Rare,7,8.0,3.1,1–2x/week,3,1,0
HSP20237561,Vegetarian,True,None,8,5.4,1.8,Daily,1,2,1
HSP20251601,Vegan,False,None,2,6.9,2.0,None,3,3,3
HSP20242442,Keto,False,None,5,6.6,2.2,Daily,0,3,1
HSP20235135,Vegetarian,True,None,2,4.4,1.2,3–5x/week,1,4,2
HSP20232899,Keto,True,Rare,8,6.8,2.2,3–5x/week,2,3,2
HSP20249431,Keto,True,None,2,5.8,2.9,3–5x/week,1,2,0
HSP20219889,Mixed,False,None,6,7.9,2.3,None,0,3,3
HSP20247770,Keto,True,None,7,6.1,2.8,3–5x/week,1,4,2
HSP20214073,Vegetarian,False,None,7,4.9,2.6,Daily,2,5,5
HSP20256927,Keto,True,Rare,8,7.2,2.9,None,1,3,3
HSP20259167,Vegan,False,None,5,4.2,2.0,1–2x/week,1,5,4
HSP20241845,Vegan,False,None,5,5.4,2.6,None,2,5,5
HSP20225375,Keto,True,None,2,7.1,3.4,1–2x/week,3,4,4
HSP20253146,Vegetarian,False,None,9,5.9,2.2,3–5x/week,1,5,5
HSP20238178,Mixed,True,None,8,7.9,2.7,Daily,1,1,0
HSP20242989,Mixed,True,Rare,8,8.0,2.7,1–2x/week,3,1,0
HSP20214920,Mixed,True,Rare,2,5.1,1.7,1–2x/week,0,2,0
HSP20226091,Mixed,True,None,7,4.6,2.9,None,1,2,2
HSP20251224,Keto,True,Rare,2,7.9,3.6,None,1,2,2
HSP20257684,Vegan,True,None,9,7.5,3.2,None,0,1,1
HSP20214681,Vegetarian,True,Rare,7,5.8,1.8,Daily,0,4,4
HSP20218560,Mixed,False,None,6,7.5,2.8,Daily,0,5,3
HSP20213522,Vegan,False,Regular,6,6.6,2.7,None,3,5,3
HSP20245781,Mixed,True,None,7,6.9,3.3,1–2x/week,1,2,2
HSP20255479,Keto,False,None,3,8.1,2.8,3–5x/week,2,4,3
HSP20248905,Keto,False,Rare,9,7.5,2.8,None,0,5,4
HSP20244993,Vegan,True,Rare,3,5.9,3.0,None,3,4,3
HSP20243369,Keto,False,None,7,4.8,3.1,1–2x/week,3,4,4
HSP20244122,Mixed,True,Rare,4,5.1,2.7,None,2,4,2
HSP20259327,Vegetarian,False,Rare,2,5.5,2.8,1–2x/week,1,2,2
HSP20222143,Vegetarian,False,None,9,6.5,1.5,None,3,4,2
HSP20237798,Keto,True,None,4,7.0,2.2,1–2x/week,1,4,4
HSP20239318,Vegan,True,None,4,7.6,2.5,Daily,2,5,4
HSP20231042,Keto,True,Regular,3,7.0,1.9,None,2,2,0
HSP20235891,Vegan,True,None,2,5.8,2.2,1–2x/week,3,3,3
HSP20259022,Mixed,True,Rare,3,7.5,3.5,1–2x/week,1,3,2
HSP20228316,Vegan,False,None,5,5.5,3.1,1–2x/week,3,5,3
HSP20258935,Vegan,True,None,5,3.9,1.8,Daily,3,3,1
HSP20236446,Vegetarian,False,Rare,4,5.3,1.7,None,0,1,0
HSP20259903,Vegetarian,False,Rare,4,4.6,2.7,Daily,3,3,3
HSP20248460,Keto,False,Rare,5,6.2,2.7,3–5x/week,0,2,1
HSP20234090,Mixed,False,None,7,7.3,2.7,1–2x/week,1,4,3
HSP20227274,Keto,False,Regular,8,7.3,2.5,Daily,3,3,1
HSP20227730,Keto,False,None,4,5.1,3.1,1–2x/week,2,5,4
HSP20216213,Vegan,True,None,8,5.8,1.9,1–2x/week,2,1,0
HSP20247246,Mixed,False,None,7,6.3,2.0,None,1,1,0
HSP20243492,Mixed,False,Rare,9,6.0,2.7,1–2x/week,1,3,1
HSP20241606,Vegetarian,False,None,5,6.9,2.0,3–5x/week,2,2,2
HSP20229229,Mixed,True,None,7,5.9,3.1,None,1,2,2
HSP20256439,Vegan,False,None,2,7.1,3.7,3–5x/week,2,4,2
HSP20218213,Keto,True,None,6,7.9,3.2,None,3,1,1
HSP20219617,Mixed,True,None,9,4.8,3.0,1–2x/week,1,2,1
HSP20241251,Mixed,True,Regular,6,6.4,2.2,3–5x/week,0,4,3
HSP20227717,Keto,False,None,5,6.7,3.1,Daily,1,2,0
HSP20222225,Keto,True,None,3,7.1,2.0,1–2x/week,1,1,1
HSP20245342,Vegan,False,None,6,7.4,2.1,1–2x/week,1,2,1
HSP20237512,Keto,False,None,4,6.8,2.3,Daily,3,1,0
HSP20216383,Mixed,False,None,7,6.2,3.0,3–5x/week,2,4,2
HSP20257226,Mixed,True,None,7,5.3,3.7,Daily,2,5,3
HSP20238994,Vegetarian,True,Rare,4,4.3,2.1,3–5x/week,2,1,0
HSP20251588,Mixed,False,None,2,6.9,2.9,None,0,3,2
HSP20252121,Keto,True,None,2,6.4,2.5,None,1,5,3
HSP20225708,Vegetarian,False,None,3,7.0,2.4,None,2,1,0
HSP20222480,Mixed,True,None,8,8.2,3.0,3–5x/week,0,2,1
HSP20242612,Mixed,True,None,5,7.5,1.9,Daily,2,4,3
HSP20218269,Vegan,True,None,2,6.4,2.3,None,3,5,4
HSP20225906,Keto,False,None,9,5.3,2.7,Daily,2,1,1
HSP20211753,Vegetarian,True,Rare,3,5.9,2.9,Daily,1,4,2
HSP20231919,Vegetarian,False,None,7,5.2,3.5,Daily,3,5,4
HSP20236873,Vegetarian,True,None,9,5.4,2.6,Daily,3,3,1
HSP20238056,Mixed,True,None,3,7.5,2.2,Daily,0,3,3
HSP20225000,Vegan,True,None,6,7.5,1.8,3–5x/week,0,5,4
HSP20257751,Keto,False,None,4,8.2,2.5,3–5x/week,1,3,3
HSP20253950,Mixed,True,None,8,5.8,2.3,Daily,1,1,0
HSP20223868,Keto,False,None,3,7.5,2.1,3–5x/week,2,4,3
HSP20217267,Keto,True,None,5,5.6,2.4,None,1,5,4
HSP20254945,Mixed,True,Regular,9,5.1,3.6,1–2x/week,3,4,3
HSP20243344,Mixed,False,None,7,5.8,3.0,None,1,3,3
HSP20228555,Vegan,False,None,5,6.8,1.9,None,3,2,2
HSP20238529,Keto,True,Rare,2,6.5,3.0,Daily,1,5,3
HSP20231153,Mixed,False,Rare,9,6.3,3.2,Daily,0,1,0
HSP20245712,Vegan,True,None,9,7.7,3.1,Daily,1,1,0
HSP20253588,Vegetarian,True,None,3,5.9,1.9,1–2x/week,0,1,1
HSP20218237,Vegan,True,None,6,5.8,2.6,Daily,1,1,0
HSP20235901,Keto,False,Regular,3,7.2,1.2,Daily,0,5,3
HSP20245097,Keto,True,None,8,6.5,2.6,3–5x/week,3,4,3
HSP20245949,Keto,False,None,8,6.2,3.3,1–2x/week,1,3,2
HSP20227302,Vegetarian,True,Rare,7,7.0,3.3,1–2x/week,1,3,3
HSP20242747,Keto,False,None,9,6.2,3.1,1–2x/week,1,2,2
HSP20227248,Vegetarian,False,None,2,8.5,3.3,Daily,0,3,1
HSP20256881,Vegan,False,Rare,8,5.2,2.3,None,0,3,2
HSP20255847,Vegetarian,True,Regular,7,6.1,2.8,None,0,1,1
HSP20231359,Keto,True,None,2,7.3,2.0,None,1,4,3
HSP20245497,Mixed,False,Rare,7,6.6,1.3,Daily,1,2,1
HSP20211803,Vegan,True,None,3,8.2,2.2,1–2x/week,0,3,1
HSP20259138,Keto,False,None,6,6.6,2.3,Daily,1,5,4
HSP20234770,Keto,False,Rare,5,7.9,0.8,1–2x/week,0,2,2
HSP20256772,Keto,True,Rare,8,6.5,2.4,Daily,2,2,0
HSP20224115,Mixed,False,None,7,6.0,3.5,3–5x/week,1,4,2
HSP20255106,Mixed,False,None,2,5.4,3.0,1–2x/week,0,5,4
HSP20222591,Vegetarian,True,None,8,6.9,3.3,None,2,1,0
HSP20216061,Vegetarian,False,None,4,5.7,2.1,Daily,0,4,2
HSP20241546,Mixed,True,Rare,5,7.8,2.8,1–2x/week,2,4,2
HSP20256977,Mixed,False,None,5,4.6,2.2,None,0,1,1
HSP20222476,Vegetarian,True,None,5,7.0,3.0,None,3,5,5
HSP20236352,Vegetarian,False,Rare,2,5.7,0.8,1–2x/week,1,3,1
HSP20243877,Vegan,True,None,4,7.1,1.8,None,1,1,0
HSP20223165,Mixed,False,None,3,4.1,0.8,1–2x/week,3,4,4
HSP20256994,Vegetarian,True,None,4,7.5,2.6,Daily,0,3,1
HSP20259221,Vegan,False,Rare,6,6.2,3.3,Daily,0,3,1
HSP20233695,Mixed,True,Regular,3,7.3,3.5,None,2,5,5
HSP20238894,Mixed,True,Rare,8,4.8,2.5,Daily,1,5,4
HSP20236549,Vegan,True,None,3,4.6,2.4,3–5x/week,1,4,2
HSP20218673,Mixed,False,Regular,7,6.2,2.9,None,0,4,3
HSP20213306,Keto,False,Rare,3,6.6,2.9,Daily,3,4,4
HSP20227511,Mixed,False,Regular,8,7.3,3.8,3–5x/week,0,1,0
HSP20256992,Keto,True,None,8,6.1,1.9,1–2x/week,1,2,1
HSP20217464,Keto,False,None,2,6.8,2.0,1–2x/week,3,4,4
HSP20215332,Keto,False,None,2,8.3,2.3,Daily,2,5,3
HSP20253024,Mixed,False,None,3,5.8,2.2,1–2x/week,2,3,1
HSP20247038,Keto,False,None,8,7.4,2.4,3–5x/week,3,4,3
HSP20237242,Vegetarian,True,Regular,7,5.7,3.5,None,2,1,1
HSP20232775,Vegan,True,Rare,3,5.5,2.5,Daily,2,4,2
HSP20228724,Mixed,True,Regular,4,7.3,1.5,3–5x/week,3,3,3
HSP20216374,Keto,True,Rare,6,7.1,1.9,Daily,0,1,0
HSP20254626,Vegan,True,None,4,7.5,1.9,3–5x/week,2,5,3
HSP20218606,Mixed,False,None,9,7.3,3.2,3–5x/week,3,1,0
HSP20237689,Mixed,True,Rare,5,7.5,2.7,None,0,1,0
HSP20213290,Mixed,False,Rare,3,6.2,2.2,Daily,0,4,3
HSP20211609,Mixed,True,None,7,8.3,2.1,1–2x/week,1,2,2
HSP20239071,Mixed,False,Rare,3,5.3,2.9,None,3,2,2
HSP20212592,Vegetarian,False,Rare,2,5.5,1.9,1–2x/week,2,2,1
HSP20229807,Keto,True,None,9,4.8,2.2,3–5x/week,1,4,2
HSP20227367,Vegan,True,Rare,7,6.4,2.6,Daily,0,3,2
HSP20247078,Keto,False,Regular,9,7.6,2.8,3–5x/week,0,4,2
HSP20257866,Keto,True,None,6,6.3,2.4,3–5x/week,2,2,1
HSP20253531,Vegan,True,None,8,7.1,3.3,Daily,2,5,5
HSP20242622,Vegan,True,Rare,5,6.7,2.2,3–5x/week,3,2,1
HSP20247686,Keto,True,None,8,5.3,1.6,3–5x/week,2,2,2
HSP20231536,Vegetarian,False,None,9,7.3,2.8,None,2,2,2
HSP20234559,Keto,True,Rare,6,7.2,2.4,3–5x/week,1,4,2
HSP20248285,Vegan,True,None,6,8.2,2.2,3–5x/week,0,3,1
HSP20226942,Vegetarian,True,None,8,7.6,2.5,Daily,1,1,1
HSP20217018,Keto,True,None,5,5.8,2.9,None,3,4,4
HSP20256876,Keto,True,Rare,7,7.0,2.7,3–5x/week,2,1,1
HSP20217523,Vegetarian,True,None,7,6.6,2.5,3–5x/week,0,3,3
HSP20234109,Mixed,True,None,7,9.4,3.2,None,1,5,5
HSP20218450,Vegan,True,None,3,7.4,2.6,1–2x/week,3,5,4
HSP20214475,Mixed,True,Rare,7,7.7,2.8,1–2x/week,0,1,1
HSP20251349,Mixed,True,Rare,2,6.5,2.3,3–5x/week,1,4,3
HSP20216464,Mixed,False,Rare,4,6.4,0.6,Daily,3,2,0
HSP20223063,Vegan,True,Rare,7,6.8,2.2,Daily,1,5,5
HSP20254362,Vegan,False,None,3,8.4,2.5,3–5x/week,3,1,0
HSP20214394,Vegetarian,True,None,3,5.1,2.5,Daily,2,3,2
HSP20254538,Vegan,True,Rare,2,5.2,2.8,Daily,1,4,4
HSP20226383,Vegetarian,False,None,5,6.8,3.1,Daily,2,4,4
HSP20221046,Mixed,True,Rare,9,5.6,2.5,3–5x/week,3,2,1
HSP20233370,Vegan,True,None,8,4.9,2.9,None,2,5,5
HSP20229850,Keto,False,None,2,7.1,2.8,Daily,1,1,0
HSP20233858,Keto,True,None,5,6.5,2.7,3–5x/week,0,4,2
HSP20211422,Keto,True,None,2,8.4,2.3,3–5x/week,1,2,0
HSP20221243,Keto,False,None,3,6.7,1.8,1–2x/week,1,3,3
HSP20234898,Vegetarian,False,None,3,5.5,2.6,3–5x/week,1,1,1
HSP20256304,Vegan,True,None,7,7.8,2.3,None,1,5,5
HSP20213854,Mixed,True,None,4,6.2,2.3,Daily,2,3,2
HSP20231858,Keto,False,None,3,5.9,2.7,None,2,3,1
HSP20227897,Vegetarian,False,Rare,5,4.7,3.3,None,1,3,3
HSP20252862,Keto,False,None,3,5.7,2.9,None,1,5,4
HSP20218802,Keto,True,Rare,3,5.0,2.9,3–5x/week,0,4,4
HSP20246931,Vegetarian,False,Rare,8,7.3,2.7,3–5x/week,0,4,4
HSP20252786,Mixed,True,Rare,4,5.3,2.6,None,0,5,4
HSP20249254,Mixed,True,None,5,5.1,2.3,Daily,0,3,2
HSP20221710,Mixed,False,None,9,7.7,3.0,None,0,3,3
HSP20255941,Keto,False,None,6,6.5,1.9,3–5x/week,0,3,3
HSP20241510,Vegetarian,False,None,2,7.3,2.5,None,1,1,1
HSP20218847,Keto,True,None,2,3.7,3.0,1–2x/week,2,3,3
HSP20247984,Mixed,False,None,9,6.5,3.2,Daily,0,2,0
HSP20219032,Vegetarian,False,None,5,5.2,0.6,3–5x/week,3,4,2
HSP20242204,Vegan,False,Rare,4,6.8,2.7,1–2x/week,3,5,3
HSP20216277,Vegetarian,True,None,5,4.5,1.9,1–2x/week,3,2,2
HSP20253430,Vegetarian,False,None,5,9.8,2.3,3–5x/week,3,1,1
HSP20213067,Vegan,True,None,3,7.4,2.1,1–2x/week,1,3,3
HSP20239984,Mixed,True,Rare,5,4.0,2.4,None,3,5,5
HSP20237240,Keto,True,None,2,6.2,2.3,1–2x/week,0,4,4
HSP20259692,Keto,True,None,6,6.4,2.7,Daily,3,4,4
HSP20238433,Vegetarian,True,None,4,6.3,1.7,None,2,1,1
HSP20258048,Keto,True,None,8,7.1,1.3,1–2x/week,2,5,4
HSP20212874,Vegetarian,False,None,5,4.0,2.9,Daily,0,5,4
HSP20254522,Vegetarian,True,Rare,3,7.1,2.5,3–5x/week,2,3,2
HSP20248398,Vegan,False,Rare,4,4.8,2.1,Daily,2,3,2
HSP20227779,Vegetarian,True,None,9,6.2,1.5,None,1,4,3
HSP20238430,Vegetarian,False,Rare,8,5.6,2.9,1–2x/week,2,4,4
HSP20247815,Mixed,False,Rare,8,8.2,2.2,Daily,1,1,0
HSP20216120,Vegan,False,None,3,7.4,1.4,1–2x/week,3,3,3
HSP20246120,Mixed,True,None,6,7.3,2.0,Daily,0,3,2
HSP20237132,Keto,False,None,8,6.9,2.4,1–2x/week,1,1,0
HSP20228770,Vegetarian,True,Rare,8,8.1,2.0,None,2,2,0
HSP20212494,Vegetarian,False,None,5,7.3,2.3,None,3,5,3
HSP20212527,Keto,True,Rare,8,6.3,2.4,3–5x/week,3,1,0
HSP20242582,Keto,False,None,8,5.5,2.5,Daily,0,2,1
HSP20233131,Mixed,True,None,5,6.4,2.6,Daily,1,4,2
HSP20251982,Mixed,True,Rare,4,6.6,3.0,1–2x/week,0,2,1
HSP20256400,Vegetarian,False,None,5,7.6,1.9,3–5x/week,0,1,0
HSP20217730,Vegetarian,False,Rare,4,7.5,1.8,None,0,5,4
HSP20237929,Mixed,True,None,6,7.2,2.9,Daily,0,5,5
HSP20215712,Vegetarian,True,None,9,4.2,2.6,Daily,0,4,3
HSP20256119,Keto,False,Rare,9,5.9,2.0,3–5x/week,3,5,3
HSP20232697,Vegetarian,False,None,4,8.1,2.1,None,3,1,1
HSP20259313,Vegan,False,Rare,8,5.5,2.5,3–5x/week,0,5,3
HSP20223535,Vegetarian,True,None,9,7.3,2.4,1–2x/week,2,4,4
HSP20244674,Vegetarian,False,None,3,7.9,2.8,1–2x/week,3,3,2
HSP20216736,Keto,True,Rare,8,3.9,2.2,None,3,5,4
HSP20257022,Keto,True,None,3,5.8,2.8,None,1,5,3
HSP20215564,Vegetarian,False,None,4,3.4,4.0,None,0,2,0
HSP20254705,Vegetarian,False,None,9,7.1,2.6,3–5x/week,1,2,2
HSP20241430,Keto,True,Rare,5,7.9,3.9,Daily,0,2,2
HSP20255381,Keto,False,None,2,7.5,3.1,None,2,5,5
HSP20213955,Mixed,False,Rare,7,6.7,2.4,3–5x/week,2,5,4
HSP20236062,Mixed,False,Rare,5,5.9,2.0,None,1,4,3
HSP20236751,Mixed,True,None,7,5.7,1.7,3–5x/week,0,4,3
HSP20213972,Vegetarian,True,None,3,6.4,1.5,3–5x/week,3,4,4
HSP20227566,Vegetarian,True,Rare,8,6.7,2.5,None,0,5,4
HSP20213324,Mixed,False,None,3,6.7,2.2,1–2x/week,2,3,3
HSP20212503,Vegetarian,False,None,2,10.2,3.3,1–2x/week,0,4,2
HSP20254524,Keto,False,Rare,2,5.0,2.6,Daily,2,3,1
HSP20247878,Keto,True,Rare,2,5.8,1.9,1–2x/week,0,4,3
HSP20246585,Mixed,False,Rare,3,4.9,2.8,Daily,3,5,5
HSP20227062,Vegetarian,True,None,9,5.7,3.1,1–2x/week,3,4,4
HSP20236314,Keto,True,None,5,7.7,3.3,3–5x/week,0,2,1
HSP20252391,Mixed,True,Rare,6,5.5,2.8,None,1,1,0
HSP20213549,Mixed,True,Rare,8,7.3,2.2,3–5x/week,2,1,1
HSP20221815,Vegetarian,False,None,4,5.6,3.5,3–5x/week,2,2,0
HSP20215458,Vegetarian,True,Rare,5,6.8,2.9,3–5x/week,0,5,4
HSP20247947,Keto,False,None,3,5.5,1.8,None,3,1,0
HSP20248242,Keto,False,None,6,5.8,2.4,None,2,4,3
HSP20245475,Mixed,True,Rare,9,5.2,2.5,None,2,3,1
HSP20229394,Mixed,False,Rare,3,4.5,1.8,None,1,4,4
HSP20216655,Vegetarian,True,Rare,7,7.3,2.9,Daily,2,5,4
HSP20242816,Mixed,True,None,4,6.0,1.9,1–2x/week,3,4,2
HSP20238972,Keto,False,None,8,5.3,2.3,1–2x/week,1,5,4
HSP20256053,Mixed,True,None,3,7.3,3.1,3–5x/week,0,1,0
HSP20214612,Mixed,True,Rare,5,5.9,1.8,3–5x/week,1,3,1
HSP20241897,Mixed,False,None,8,6.8,2.0,1–2x/week,1,3,2
HSP20214349,Mixed,True,Rare,5,5.9,3.3,1–2x/week,2,2,1
HSP20234460,Vegan,True,Regular,8,7.5,2.6,Daily,2,1,0
HSP20225186,Keto,False,Rare,4,5.0,2.6,3–5x/week,1,5,5
HSP20236375,Keto,True,None,7,7.8,2.3,None,3,3,3
HSP20211126,Vegan,True,None,7,8.1,3.3,1–2x/week,2,5,4
HSP20248055,Keto,True,None,8,8.5,2.7,Daily,2,3,3
HSP20223116,Vegan,True,Rare,9,7.2,3.3,Daily,2,1,0
HSP20249725,Keto,True,Rare,5,7.0,2.2,None,0,5,3
HSP20229196,Vegan,False,None,9,6.0,2.6,1–2x/week,2,3,1
HSP20256802,Keto,False,None,8,5.0,2.4,Daily,3,5,3
HSP20217505,Vegan,False,None,3,7.8,1.2,Daily,0,4,2
HSP20218147,Vegetarian,True,Rare,9,8.3,3.2,None,0,1,1
HSP20218532,Vegan,False,None,8,5.9,2.8,Daily,2,4,3
HSP20216129,Vegan,True,Rare,3,6.5,3.2,Daily,0,1,0
HSP20258033,Keto,False,None,4,7.7,1.7,1–2x/week,2,2,1
HSP20257626,Keto,False,None,6,7.2,2.4,3–5x/week,0,3,2
HSP20245743,Keto,True,None,6,6.6,2.1,None,1,3,3
HSP20217636,Keto,True,None,4,8.6,3.1,3–5x/week,3,1,0
HSP20216321,Vegetarian,True,None,5,5.6,1.7,3–5x/week,3,4,2
HSP20228538,Mixed,False,Rare,6,6.0,2.8,None,3,2,0
HSP20232443,Vegan,True,Rare,8,6.8,3.3,None,3,2,1
HSP20242734,Vegan,True,None,3,7.4,3.1,None,0,2,1
HSP20228138,Keto,False,None,5,6.9,1.7,None,2,5,4
HSP20257560,Mixed,False,None,8,6.3,3.1,Daily,0,2,1
HSP20252288,Vegan,False,None,5,6.4,2.8,Daily,1,3,2
HSP20246083,Vegan,True,Rare,6,6.1,1.9,Daily,3,2,2
HSP20234630,Vegetarian,True,Rare,4,6.4,2.7,1–2x/week,1,3,2
HSP20233754,Keto,True,None,2,5.7,2.4,Daily,1,1,0
HSP20219363,Vegan,False,Rare,9,5.4,3.2,Daily,3,2,0
HSP20219693,Keto,True,None,8,6.1,3.4,Daily,2,1,0
HSP20254176,Keto,False,None,9,8.3,2.5,3–5x/week,2,3,1
HSP20236752,Mixed,False,Rare,7,5.3,1.2,1–2x/week,2,2,1
HSP20224871,Keto,False,Rare,2,4.7,1.7,1–2x/week,3,4,3
HSP20213399,Keto,False,None,6,8.2,2.6,1–2x/week,0,4,3
HSP20234232,Keto,False,None,9,7.0,1.2,3–5x/week,1,3,3
HSP20223504,Vegetarian,False,Rare,5,5.1,3.0,1–2x/week,0,5,3
HSP20213902,Vegetarian,True,Rare,2,6.8,2.4,3–5x/week,0,4,3
HSP20248601,Keto,False,Rare,4,7.2,3.5,1–2x/week,2,3,2
HSP20258354,Mixed,False,Rare,8,6.2,2.5,3–5x/week,1,3,3
HSP20256295,Mixed,True,Regular,8,6.7,3.9,None,0,1,0
HSP20233473,Keto,True,Rare,3,4.0,2.9,None,0,2,1
HSP20242118,Vegan,False,None,8,6.4,2.8,3–5x/week,0,1,0
HSP20248245,Vegetarian,False,None,9,5.7,2.5,3–5x/week,3,4,4
HSP20235500,Vegan,False,None,8,7.4,4.4,None,3,5,4
HSP20251920,Vegetarian,False,Rare,8,7.5,2.0,Daily,3,5,5
HSP20239312,Vegetarian,False,Rare,7,6.0,2.2,Daily,2,5,3
HSP20216085,Vegan,True,None,3,4.3,2.3,3–5x/week,1,2,0
HSP20248404,Mixed,True,Rare,4,7.4,1.7,Daily,3,3,3
HSP20211932,Vegan,False,Rare,5,7.8,2.8,Daily,1,2,2
HSP20235703,Vegan,True,None,5,5.6,2.4,None,3,4,4
HSP20212479,Vegan,False,None,5,8.4,2.9,1–2x/week,0,3,2
HSP20259307,Vegan,True,None,6,6.5,2.4,3–5x/week,1,1,1
